,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_RS,syn_RS,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YIL062C,3.6109,4.2627,6.142,5.3725,0.49908,3.1046,-0.74866,6.5949,0.34,-1.0744,-4.4,-6.1,1.3,-4.8,-1.6094,-0.57476,-18.2,-9.6929,29.7
YDR196C,2.3026,4.5109,6.5876,3.9644,-0.11046,2.6672,-1.4106,4.5951,0.35,-1.8313,-11.8,-11.8,-6.5,-9.8,-1.6094,-0.60877,-16.2,-8.0522,34.4
YNR032W,4.654,4.8442,7.0094,3.6441,-0.61015,2.2824,-1.6195,3.9703,0.36,-2.2976,-6.5,-10.8,-5.6,0.7,-1.6094,-0.43178,-15.4,-9.7543,32.4
YML105C,3.2189,4.654,6.7117,4.648,0.35255,2.6247,-1.0671,4.705,0.43,-2.3925,4.4,4.4,-5,5.4,-1.6094,-0.58472,-14.5,-8.1846,30.7
YNL288W,4.9488,4.9836,7.0229,3.9122,-0.12599,1.5261,-0.5075,5.6824,0.35,-1.5037,-7.8,-8.1,-3.8,-1.9,0.18232,-0.48377,-21.2,-8.9611,36.5
YNR018W,3.912,4.8283,6.5147,5.1578,0.18453,2.8214,-0.78526,5.0206,0.4,-1.1132,-3.5,-5,-5.8,-7.7,0.18232,-0.29544,-18.7,-9.2381,35.7
YFR047C,2.8332,4.3438,6.789,4.7195,0.13138,3.0301,-1.7148,5.3214,0.41,-2.1602,-7.6,-7.6,-5.6,-5.8,-1.6094,-0.42333,-26.4,-10.054,28.2
YOR062C,3.7377,4.3438,6.6933,2.596,-0.5626,2.4423,-1.8264,3.989,0.34,-2.5639,-6,-6,-5.7,-2.7,0.18232,-0.5274,-18.1,-8.296,44.6
YBR043C,4.9972,4.654,7.6353,3.288,-1.5528,2.1401,-1.1147,6.675,0.35,-1.6799,-5.1,-7.8,-5.9,-11.6,0.18232,-0.58042,-25.1,-9.3388,43.4
YHR112C,3.4965,5.0499,7.0361,3.7327,-0.10273,2.7912,-2.1286,3.8501,0.38,-2.2127,-6.1,-5.9,-9.5,-7.1,-1.6094,-0.49297,-17.3,-9.2889,32.7
YLR011W,4.3438,5.6802,6.3561,2.9344,0.27646,2.2083,-1.9379,4.4942,0.3,-2.183,-7,-7.5,-2.2,-4.1,-1.6094,-0.57332,-23.3,-10.322,41.3
YKR084C,3.5264,4.2047,7.5153,4.4621,-0.074721,2.3609,-1.3548,5.273,0.38,-2.2907,-3,-9.2,-2.5,-9.1,-1.6094,-0.62234,-15.5,-8.0142,29.7
YCR046C,1.6094,4.6444,6.2344,4.607,-0.028348,2.6672,-1.4065,4.9511,0.36,-1.6332,-20.1,-20.1,-12.3,-9,-1.6094,-0.11146,-17.2,-10.487,32.4
YKL204W,3.5553,5.0106,7.5491,3.9942,0.25477,1.8563,-0.35525,5.6192,0.37,-1.7844,-4.5,-5.9,-1.5,0,-1.6094,-0.6351,-13.3,-6.9145,33.9
YOR266W,3.7377,4.2195,7.1483,2.8724,-0.59005,2.5014,-2.0557,3.8286,0.31,-2.5145,-5.7,2.3,-2.9,3,-1.6094,-0.57752,-14.1,-7.3805,31.7
YNL229C,5.3706,5.4161,6.9707,4.1068,0.31999,1.9459,-0.052346,5.5334,0.36,-1.6435,-6.4,-2.9,-10.4,-4.8,0.18232,-0.60441,-13.5,-7.3824,-1.8
YMR266W,2.3979,5.2257,7.9593,4.7698,-0.73985,2.3888,-1.1426,5.7387,0.42,-2.221,-2.8,-2.8,-4.7,-5.2,-1.6094,-0.61655,-17.6,-7.9681,38.4
YPL089C,5.5452,4.7707,7.6163,3.0111,-0.76087,1.1314,0.12575,4.2413,0.36,-1.5493,-6,-4.1,-1.6,-5.7,0.18232,-0.52442,-16.1,-6.4629,26.2
YCR028C,3.989,6.5862,7.3389,3.717,-0.50091,2.3418,-1.9173,4.7478,0.36,-3.3524,-5.4,-8.8,-0.84,-4.6,0.18232,-0.55067,-15.8,-9.262,40.6
YLR179C,3.912,4.654,6.4069,6.1282,0.36024,3.4595,-0.40347,6.6908,0.42,-0.95555,-9,-7.5,1.7,-5.6,-1.6094,-0.25134,-15.3,-10.905,39.9
YEL047C,2.5649,4.382,7.2535,5.0633,-0.031025,2.7408,-0.61804,6.371,0.48,-1.7071,-11.4,-11.4,-2.7,-4.4,-1.6094,-0.48548,-19.8,-10.665,36.6
YPR016C,4.5109,5.323,6.6039,5.6087,0.22421,2.8507,-0.38126,6.9051,0.45,-1.1304,6.7,-7.3,-15.1,-2,0.78846,-0.68177,-19.6,-9.0696,55.7
YFL044C,2.8904,5.3799,6.809,4.0268,0.004448,2.5096,-2.4534,4.0775,0.42,-1.201,-8.3,-8.3,-7.4,-4.8,-1.6094,-0.38755,-16.6,-9.4621,26.5
YKL182W,5.7807,4.4427,8.7252,6.9602,-0.46789,2.2083,1.0123,8.1205,0.51,-0.33561,-3.7,-6.3,-5.5,-2.7,1.1632,-0.59209,-19.6,-9.1618,25.9
YKL135C,4.4308,4.3041,7.6875,4.1556,-0.52038,2.1972,-0.9314,5.2131,0.38,-2.0589,-2.2,-7.8,-5.3,0.2,-1.6094,-0.6224,-16,-7.4676,36
YLR363C,3.7377,6.1291,6.4877,4.0048,0.017348,3.8221,-2.8134,5.5997,0.42,-2.4962,-6.7,-2.3,-3.4,-4.3,-1.6094,-0.67672,-24.2,-7.305,43.1
YKR046C,2.0794,4.9628,6.7476,3.6579,-0.0088061,2.6101,-1.7898,5.0773,0.44,-1.5736,-6,-6,-16.9,-4.6,-1.6094,-0.23922,-20.7,-11.685,29.1
YJR005W,3.7842,5.6699,7.6511,3.9104,-0.67922,1.9879,-0.85567,4.7303,0.38,-2.1813,-9.3,-8.6,-5.2,-7.2,-1.6094,-0.5883,-16.6,-7.6451,31.4
YER030W,2.0794,4.7622,6.1356,5.1628,0.65961,2.5726,-0.35382,5.6395,0.53,-1.5394,-3.4,-3.4,-4.2,-11.8,-1.6094,-0.66685,-9.5,-4.4357,25.5
YJR072C,3.4012,5.8551,7.0544,4.7899,0.16613,2.6174,-0.92634,5.7214,0.41,-1.0756,-3.9,-3.9,-8.4,-6.7,-1.6094,-0.33609,-19.8,-9.1486,30.7
YDR047W,4.8203,4.3175,6.993,4.5311,-0.19694,2.3609,-0.95192,5.0017,0.41,-0.87132,-3.8,-10.5,-7,1.5,1.1632,-0.45424,-23.5,-10.897,33.4
YKR039W,6.8416,5.0039,7.5005,2.6261,-0.38754,2.4248,-2.386,8.7167,0.45,-4.3901,-5.9,2.2,-1.7,-7.8,0.18232,-0.53331,-18.5,-10.375,30.6
YDL117W,5.6937,4.8752,7.8853,3.9982,-0.95368,1.9315,-1.3626,4.4188,0.37,-1.8091,-2.3,-2.5,-10.8,7,-1.6094,-0.59406,-15,-7.723,31.8
YIL105C,4.6634,3.6376,7.6309,3.6968,-0.29799,2.1163,-1.4784,4.8624,0.37,-2.3677,4.5,2.3,-0.2,-2.4,-1.6094,-0.58796,-14.1,-8.0194,23.7
YIL150C,3.4012,5.7462,7.4478,2.9423,-0.48703,1.9741,-2.7031,4.0518,0.33,-2.0883,-11.7,-11.7,-1.3,-3.6,-1.6094,-0.55946,-16.6,-7.1107,44.5
YGL250W,1.3863,5.3327,6.5876,1.9947,0.55005,2.6603,-2.8473,3.7842,0.38,-3.1536,0.7,0.7,-9.8,-10.8,-1.6094,-0.47396,-17.4,-9.1391,32.8
YLR254C,4.5747,4.2341,6.3456,3.2988,-0.19511,2.6391,-1.7373,4.1109,0.33,-2.1161,1.2,-4.9,-0.4,-8.3,-1.6094,-0.44429,-13.2,-6.1235,40.6
YPL105C,2.5649,4.7274,7.8438,4.175,-0.58374,1.775,0.012916,4.9511,0.4,-1.1809,-12.6,-12.6,-7.9,-1.2,-1.6094,-0.61325,-19.4,-7.8928,37.8
YDR248C,4.0431,4.6151,6.3665,4.1589,-0.29668,3.0445,-1.9038,4.0943,0.42,-2.1261,-5.8,-4.2,-2.9,-2.5,-1.6094,-0.54404,-20,-8.5611,32
YDL215C,3.8067,5.037,8.0953,3.8512,-0.45436,2.5572,-0.95192,8.4979,0.43,-2.0047,-2.8,-1.1,-11.5,9.7,-1.6094,-0.59113,-16.2,-8.2204,39.2
YHR006W,3.1781,4.8363,7.3939,3.5559,-0.14115,2.0281,-1.2874,3.8501,0.34,-1.9324,-5.7,-5.7,-5.4,-6.9,-1.6094,-0.56112,-17.6,-6.7472,34.9
YNL083W,2.3026,5.6131,7.3032,3.0116,-0.73639,2.5096,-2.2828,3.8501,0.35,-2.4135,-11.1,-11.1,-11.9,-2.6,-1.6094,-0.49618,-13.8,-7.9896,39.9
YMR238W,4.8978,4.4188,7.2277,4.3162,-0.09327,2.4932,-0.74655,5.7641,0.39,-1.8158,-8.3,-3,-12.5,-3.9,-1.6094,-0.60523,-18.2,-9.7136,28.4
YDR021W,4.382,4.0431,7.0901,3.2542,-0.10622,2.0149,-1.6348,4.5109,0.39,-2.1821,-4.8,-4.1,-2,-3.8,-1.6094,-0.73679,-15.8,-7.4447,51.1
YPL212C,1.0986,5.0304,7.3994,4.5791,-0.12038,2.2824,-0.89649,6.2265,0.42,-1.6681,-11.7,-11.7,-16.2,-3.8,-1.6094,-0.58767,-19.8,-8.2302,41
YOR310C,2.5649,5.5491,7.3369,6.1539,0.22294,2.9957,0.71,7.3597,0.54,-0.80096,-6.7,-6.7,-0.3,-2.6,-1.6094,-0.61219,-17.6,-8.45,22.2
YDR017C,2.5649,5.1358,8.0561,4.0255,-0.77052,1.6292,-0.29437,4.6052,0.38,-1.4806,-0.5,-0.5,-6.2,-6.2,-1.6094,-0.60614,-15,-7.4712,33.8
YIL090W,4.9273,5.7589,7.2971,4.131,-0.83813,2.5649,-1.3863,5.6131,0.34,-2.7536,-12.5,7.3,-12.6,-1.9,-1.6094,-0.53616,-18,-8.5708,36
YPR057W,2.0794,4.0073,6.9334,3.5976,-0.95141,2.785,-2.1371,3.912,0.34,-1.4372,-10.9,-10.9,-6,-8,-1.6094,-0.50928,-15.3,-8.3242,42.2
YDR116C,3.5264,4.7791,6.7546,3.8892,0.11926,2.1163,-1.2107,4.8363,0.35,-1.998,-7.2,-7.2,-4.6,-0.8,-1.6094,-0.6865,-16.3,-8.463,40.9
YOL062C,2.9444,4.2485,7.2971,4.2277,-1.0467,2.6391,-1.1907,4.0013,0.35,-1.7071,-9.4,-9.4,-8.5,-3.5,-1.6094,-0.46574,-16,-10.188,37.1
YNL234W,3.912,4.2767,7.1554,2.4765,-0.9121,2.2618,-2.0875,3.6763,0.35,-2.2926,-8.3,-4,-6.6,-2.9,-1.6094,-0.60767,-12.8,-6.9317,35.8
YDL070W,3.1355,5.5722,7.5585,4.9024,-0.75798,2.0669,0.44597,4.5272,0.39,-0.66339,-8.7,-8.7,-5.4,-1.8,0.18232,-0.59756,-18.2,-7.3597,33.2
YOR241W,6.1334,4.9628,7.4067,4.3538,-0.3644,2.6878,-1.3704,5.8608,0.37,-1.7277,-4.8,-5.4,-2.8,-3.3,-1.6094,-0.59579,-16.3,-8.3377,34.2
YKL110C,3.0445,4.8675,6.848,4.1007,-0.14118,2.5649,-1.1907,4.9721,0.35,-1.8579,-14.3,-14.3,-8.5,0,-1.6094,-0.47519,-18.1,-8.2667,36.5
YML097C,4.0073,4.4427,7.2123,3.599,-0.18221,2.1633,-0.89894,5.0541,0.37,-2.2759,-4.9,-10.1,-7.5,-4.9,-1.6094,-0.55968,-17.5,-7.4523,34.1
YHR193C,3.1355,4.1589,6.2634,7.3485,0.71284,3.5264,0.72465,8.1062,0.6,-1.0715,4.3,4.3,-7.3,-3.4,-1.6094,-0.41108,-13.9,-8.0563,26.3
YNL305C,3.4012,4.4773,6.7957,3.8584,0.17742,2.3888,-1.5606,3.8712,0.31,-2.4327,-5.2,-5.2,0,-1.6,-1.6094,-0.23658,-17.3,-11.746,37.2
YCR061W,3.2189,5.8777,7.5475,4.0835,0.2225,2.2824,-0.8675,3.8607,0.34,-3.0813,-3.6,-3.6,-5.3,-2.7,-1.6094,-0.24995,-18.7,-9.8468,53.7
YGR166W,4.382,4.3175,7.4283,3.2137,-0.73377,2.3888,-1.726,4.0431,0.34,-2.9937,-10.7,-6.2,1.4,-3.5,0.18232,-0.60342,-16.6,-7.06,34.3
YJR055W,2.3026,6.0259,6.2046,2.8214,0.37525,2.5416,-2.4534,4.0775,0.34,-1.501,-8.7,-8.7,-3.8,-2.4,-1.6094,-0.70993,-11.6,-7.3333,38.4
YGL099W,2.9957,3.7136,7.5616,4.7967,-0.02356,2.3026,-0.97022,5.9216,0.43,-1.9442,-5,-5,-1.8,7.7,-1.6094,-0.6672,-15.5,-8.2968,29.4
YNL005C,3.7842,4.3307,7.0175,4.4383,-0.37097,2.451,-1.3318,5.656,0.39,-1.8611,-5.9,-11.4,-9.3,-4.9,-1.6094,-0.60975,-17,-7.475,33.4
YBR133C,4.7791,4.9488,7.8176,4.2172,-1.2519,2.1163,-1.0106,4.2532,0.34,-2.2946,-7.3,-4.1,-14.8,-15.3,-1.6094,-0.49406,-16.6,-7.984,37
YBR162C,4.9053,5.0106,7.2211,6.3802,0.10683,2.5257,1.7936,4.9675,0.48,-1.8116,-4.3,-1.3,-8.4,-6.4,0.18232,-0.58901,-16.8,-9.485,30.4
YJL079C,5.0938,5.2149,6.8024,3.7488,0.67052,2.3702,-0.39156,4.5643,0.47,-1.8773,-3.8,-2.7,-6.4,-2.3,0.18232,-0.44319,-17.6,-10.011,39.6
YGL019W,4.3307,4.6347,6.7298,4.8506,-0.038195,2.4765,-0.87227,5.7137,0.37,-1.6734,-4.7,-5.8,-1.7,0,-1.6094,-0.35497,-16.7,-9.9077,30.1
YDR214W,2.6391,4.5218,6.9594,5.3875,0.21719,2.23,-0.32989,6.6381,0.41,-0.66145,-6.6,-6.6,-6.5,-5,-1.6094,-0.36273,-15.9,-8.9588,25.6
YLR222C,2.8904,4.585,7.8055,4.5997,-0.30291,1.8405,-0.5075,5.8221,0.4,-1.6977,-5,-5,-9.6,-5.1,-1.6094,-0.65403,-15.9,-8.66,34.9
YBR282W,3.6636,4.4067,6.089,4.4381,0.30514,3.3358,-2.2256,4.8866,0.39,-2.3709,-8.3,-5.3,-9.6,-4.1,-1.6094,-0.56282,-10.8,-6.9,30.8
YDR194C,3.091,5.0239,7.5984,5.0785,-0.77895,2.3795,-0.38861,6.0853,0.44,-1.621,-5.7,-5.7,-2.98,-2.2,-1.6094,-0.66366,-17,-7.0108,55.7
YNR030W,4.1109,4.9836,7.4122,4.4336,-0.38455,2.3702,-1.3509,4.5254,0.41,-3.6574,-9.1,-9.6,-0.6,0.3,-1.6094,-0.48421,-17.1,-8.0907,25.2
YGR159C,3.7612,4.9698,7.1269,5.929,0.32506,2.7473,0.65752,7.5981,0.58,-0.27194,1.7,0.3,-7.3,-4.9,-1.6094,-0.67033,-28.8,-10.493,33.2
YNL118C,4.1271,4.8598,7.9769,4.4567,-0.38134,2.0015,-0.61065,5.8081,0.37,-1.4541,-5.2,-3.4,-6.8,-2.4,-1.6094,-0.61459,-15.5,-6.6814,33.6
YJR117W,2.6391,4.5433,7.2167,5.0416,-0.14551,1.9315,-0.21319,6.3538,0.43,-2.2472,-3.7,-3.7,-6.8,-4.5,-1.6094,-0.41884,-15.3,-7.4045,36.6
YLR357W,3.8501,5.247,7.8898,3.8654,-0.34194,1.8563,-0.91879,4.9488,0.38,-1.6628,0.8,-4.2,-6.8,-4.6,-1.6094,-0.62183,-19.9,-7.146,35.7
YHR110W,3.2581,4.6821,6.4599,4.5534,-0.54311,3.0007,-1.4653,4.2195,0.37,-2.6607,-9.4,-9.4,-10.7,8.7,-1.6094,-0.53152,-13.5,-7.83,33.5
YGL173C,5.8021,4.585,8.431,5.7605,-0.46374,2.2618,-0.29571,6.4205,0.43,-2.501,0,-5.5,-5.8,-2.6,-1.6094,-0.60441,-18.6,-8.155,29.7
YNL275W,2.8332,4.4773,7.4565,3.1676,-0.89959,2.3888,-2.1804,3.9828,0.33,-3.018,-10.1,-10.1,-6.2,-3.4,-1.6094,-0.56529,-19.9,-8.3875,36.8
YAR015W,3.8067,4.5433,6.8255,5.373,0.27917,2.8034,-0.13467,7.9516,0.45,-1.8389,0.3,-0.6,-6.8,-7.2,0.18232,-0.45428,-19.1,-10.303,34.6
YLL051C,3.091,5.1059,7.6681,3.9226,-1.1954,1.7405,-0.62923,3.6636,0.3,-2.1345,-10.7,-10.7,-6,-11.7,0.18232,-0.48611,-14.1,-7.7271,38.1
YLR079W,3.6889,5.0304,6.7511,4.5257,-0.13595,2.2618,-0.79629,4.1667,0.34,-0.92231,-4.8,-3.2,-1,6.6,-1.6094,-0.57255,-17.7,-8.1296,37.4
YMR093W,3.1355,4.6728,7.3408,4.4324,-0.21861,2.0149,-0.70725,5.5175,0.37,-1.4584,4.8,4.8,-9.5,0,-1.6094,-0.65137,-15.4,-8.104,32.8
YML070W,3.7842,4.2341,7.4702,5.0983,0.22351,3.1946,-1.4567,5.9558,0.46,-2.1211,-7,-2.9,-10.6,-3.9,-1.6094,-0.58361,-20.6,-9.7719,27.1
YPR072W,4.6151,4.382,7.4283,4.6131,-0.028069,2.1163,-0.9113,5.7797,0.39,-1.9747,-3,5.63,2,-4.3,0.18232,-0.63993,-16.4,-5.8782,28.9
YDR233C,4.0604,4.9836,6.789,6.1473,0.18039,2.2083,1.1826,7.7353,0.51,-1.2567,-0.9,-6.5,-12.2,-4,-1.6094,-0.51511,-15.7,-7.7,33.7
YGR257C,4.6913,3.9703,7.004,4.2201,-1.5536,2.7014,-1.3318,3.9797,0.32,-2.1884,-8.3,-11.7,-4.4,-1.6,-1.6094,-0.47938,-17,-10.374,33.7
YGL190C,5.7366,5.3471,7.3658,4.3317,-0.37408,2.1401,-0.88189,4.5109,0.36,-1.1196,0.7,-3.6,0,0,0.78846,-0.6562,-17.1,-6.9275,35.7
YDR144C,4.9345,4.654,7.4905,4.8152,-0.43004,2.0149,-0.91379,3.7136,0.37,-2.3076,-4.6,6.8,-1.1,-11.8,-1.6094,-0.56408,-16.8,-8.3007,32.2
YFL046W,2.8904,5.0304,6.4362,3.8157,-0.0026461,2.2513,-1.3509,3.8712,0.37,-2.4841,-13.1,-13.1,-4.8,3.1,-1.6094,-0.60804,-16.8,-8.5105,33.7
YPR145W,3.7377,4.9488,7.4495,6.2466,0.0075839,2.2192,0.97682,9.6562,0.49,-1.1206,-4.6,-7.5,0,6.86,-1.6094,-0.53052,-17.3,-8.7571,27.3
YJL063C,3.6376,4.3694,6.5751,4.0764,0.25082,2.5096,-1.8389,5.1571,0.33,-1.6337,-7.7,-7.6,-3.7,-7,0.18232,-0.25025,-24.6,-11.945,29.9
YMR149W,0.69315,4.5643,6.7581,5.2351,-0.11539,2.6603,-0.68717,6.2305,0.43,-2.2082,1.4,1.4,-8.3,0,-1.6094,-0.43297,-15.6,-8.6667,12.7
YIR010W,4.2627,4.6634,7.4565,3.4009,-0.62018,1.9021,-1.4872,4.1795,0.34,-2.1663,-9.5,-6.7,-4.3,-0.4,-1.6094,-0.52055,-15,-7.237,27
YDR331W,1.9459,4.8903,7.1196,4.202,-0.15004,2.6603,-1.9661,5.0173,0.36,-2.7442,-9.4,-9.4,1.06,0,-1.6094,-0.5291,-16.2,-7.905,30.5
YKR044W,4.0943,4.1431,7.1944,3.2276,-0.9987,2.4336,-2.0715,4.1897,0.35,-1.356,-10.1,-7.6,-15.2,-2.3,0.18232,-0.39954,-22.8,-9.8419,35.5
YNL164C,5.0999,4.9345,6.9622,3.3084,-0.054108,2.5878,-1.8389,4.2047,0.34,-1.931,-4.4,3.7,-4.1,-3.1,0.18232,-0.65741,-15.5,-8.0588,57.2
YJR070C,2.8904,4.8675,6.8855,5.8158,0.46884,2.3224,-0.19845,7.0306,0.51,-0.91854,-1.8,-1.8,-2.6,-3.5,-1.6094,-0.44696,-17,-10.106,31.7
YPL007C,3.7612,4.585,7.477,3.4029,-0.67763,2.6247,-2.3026,4.6347,0.34,-2.3719,-0.7,-10.4,-2.5,0.6,-1.6094,-0.61288,-16.2,-7.3596,35.1
YDR059C,2.8904,4.6444,6.1026,3.3418,0.054719,2.9857,-1.9519,5.178,0.4,-2.9318,-4.3,-4.3,-3.1,4.8,-1.6094,-0.5838,-14.7,-8.5923,35
YLR396C,3.6109,4.0254,7.6382,3.5441,-0.74139,1.8405,-1.5702,4.4659,0.34,-2.2073,-2.8,-2.8,-1.7,-5.5,-1.6094,-0.58234,-16.7,-7.4397,32.2
YIL103W,3.912,4.2767,7.1531,3.9218,-0.1853,2.8332,-2.0099,4.8624,0.41,-1.8208,-4.3,-7.8,-4.6,-3.2,-1.6094,-0.63229,-14.7,-7.3049,38.6
YIR001C,4.1589,5.7961,6.6241,3.5395,0.34082,2.0794,-1.423,3.8501,0.4,-2.3719,-12,-1.6,-3.5,0,-1.6094,-0.53264,-14.1,-6.4833,47.3
YDL213C,2.0794,3.5835,6.5191,4.5737,0.46496,2.3026,-0.26397,6.191,0.45,-1.791,-5.3,-5.3,-1.8,-4.2,-1.6094,-0.53294,-15.3,-6.6052,29.7
YDR478W,2.8904,4.1744,6.3919,3.0507,-0.081819,1.5261,-1.5606,3.964,0.3,-2.333,5.7,5.7,-10,-1.2,-1.6094,-0.53506,-14.5,-7.5278,27.7
YNL106C,3.8918,4.0943,8.1753,3.1285,-0.80613,2.0412,-1.8579,4.069,0.35,-3.2015,-0.3,-3.6,-3.3,-7.1,-1.6094,-0.63036,-18.1,-7.8288,29.7
YGL061C,4.2047,4.6347,6.612,3.7575,-0.073103,2.3609,-1.8389,4.3108,0.37,-3.0221,-3.8,-0.3,-8.9,-5.9,-1.6094,-0.63226,-13,-6.6248,33.2
YPL210C,2.8904,4.4427,7.5616,4.7775,-0.254,1.9601,-0.56563,5.9126,0.41,-1.4832,-7.5,-7.5,-8.4,-0.5,-1.6094,-0.61105,-22,-7.3111,19
YOR087W,4.2767,4.804,7.6148,3.8461,-0.38412,2.4159,-1.3394,5.161,0.38,-2.3424,-8.3,-5.5,-2.2,-7.3,-1.6094,-0.52842,-15.9,-8.2245,27
YOR347C,2.7081,4.0254,7.3271,3.8497,-0.0081214,2.3514,-1.9379,4.6476,0.38,-2.3177,-5.2,-5.2,-3.1,-3.5,-1.6094,-0.4613,-19.3,-9.9041,28.8
YAL029C,5.3083,4.4659,8.393,4.3719,-1.3607,1.8871,-0.66943,4.7095,0.39,-2.5295,2.5,-3.7,0,-8.9,0.18232,-0.56851,-21.2,-7.5952,32.2
YDR294C,3.4657,3.8067,7.4787,4.5696,-0.41688,2.23,-0.67727,5.663,0.39,-1.2581,-7,-7,5.4,0,-1.6094,-0.52705,-21.7,-9.4298,32.6
YHR135C,4.7875,4.625,7.3883,4.7165,-0.21739,2.1041,-0.58161,5.4042,0.41,-1.1845,-2.2,-11.7,-7.4,-5.2,0.18232,-0.50687,-14.2,-7.3288,34.1
YOR243C,2.5649,5.0499,7.6163,4.7318,-0.27166,2.2407,-0.85097,5.1514,0.44,-1.7367,-7.1,-7.1,-10.4,-4.2,-1.6094,-0.64073,-16.2,-7.6788,33.9
YPR055W,3.8501,4.6444,8.0703,3.6859,-0.69014,2.3125,-1.8773,4.8481,0.38,-2.2219,-7.9,-6.3,-7.6,-0.5,-1.6094,-0.59818,-13.2,-6.1311,26
YDL076C,4.9836,5.3181,6.7856,3.8035,-0.15679,2.4596,-1.3984,4.6883,0.35,-2.2349,-2.1,-1.9,-9.3,-4.7,0.18232,-0.63936,-17.2,-7.0393,39.8
YJL192C,3.1355,4.6728,6.5582,5.4163,-0.17205,3.4532,-1.2174,6.0339,0.39,-2.62,-18.4,-18.4,-5.3,-0.1,-1.6094,-0.50847,-15.3,-7.9773,28
YLR105C,4.1897,4.4886,7.0335,3.2573,-0.82459,2.5878,-1.6503,3.7612,0.35,-2.132,-6.4,-2.7,-2.2,-5.1,-1.6094,-0.57215,-16.9,-8.5028,36.5
YML091C,5.656,4.4659,8.1912,3.2359,-0.83622,1.7047,-0.41552,4.3041,0.4,-2.522,-0.8,-11.2,-6.3,-5.3,-1.6094,-0.58987,-19.1,-6.3832,23.1
YDL098C,2.1972,4.9273,6.3716,3.612,-0.22018,2.1518,-1.6928,3.9416,0.38,-2.2956,-10.5,-10.5,-2.6,-4.8,-1.6094,-0.52125,-18.2,-8.1111,29.3
YCR063W,2.1972,6.1738,6.1612,3.1839,0.054808,1.6864,-2.4418,5.5607,0.38,-0.9994,-7.1,-7.1,-13.6,-3.3,-1.6094,-0.2684,-21.3,-10.179,38.2
YNL189W,5.2575,4.7875,7.3957,5.556,0.19774,2.4849,-0.40947,6.2672,0.45,-2.051,-2.1,-4.1,-2.9,-4.2,0.78846,-0.7271,-16.4,-8.9264,27.7
YDL018C,4.0775,5.2257,6.5191,4.2262,-0.095412,3.4689,-2.6173,5.4323,0.36,-3.1583,-4.2,-6.5,-8.2,-6.4,-1.6094,-0.56356,-14.2,-7.9238,27.2
YBL060W,3.8501,3.4965,7.6324,2.8484,-0.52895,2.23,-1.8905,3.922,0.37,-2.4901,-6.1,-12.2,-7.5,-8.7,0.18232,-0.52795,-13.4,-7.0463,46
YPL068C,3.6376,4.1744,6.7822,3.0601,-0.12413,1.0986,-0.42465,4.0943,0.33,-2.7458,-4.6,5.9,-1,-2.2,0.18232,-0.49361,-10.3,-5.7857,-11.1
