,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_JC_RZ,syn_JC_RZ,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YDL117W,5.6937,4.8752,7.8853,3.9982,-0.95368,1.2238,1.7763,4.4188,0.37,-1.8091,-2.3,-2.5,-10.8,7,-1.6094,-0.60262,-15,-7.723,31.8
YIL105C,4.6634,3.6376,7.6309,3.6968,-0.29799,3.2149,-0.082282,4.8624,0.37,-2.3677,4.5,2.3,-0.2,-2.4,-1.6094,-0.59647,-14.1,-8.0194,23.7
YIL150C,3.4012,5.7462,7.4478,2.9423,-0.48703,0.87547,1.1078,4.0518,0.33,-2.0883,-11.7,-11.7,-1.3,-3.6,-1.6094,-0.56773,-16.6,-7.1107,44.5
YGL250W,1.3863,5.3327,6.5876,1.9947,0.55005,2.4932,-0.23416,3.7842,0.38,-3.1536,0.7,0.7,-9.8,-10.8,-1.6094,-0.48155,-17.4,-9.1391,32.8
YLR254C,4.5747,4.2341,6.3456,3.2988,-0.19511,1.8718,1.254,4.1109,0.33,-2.1161,1.2,-4.9,-0.4,-8.3,-1.6094,-0.45165,-13.2,-6.1235,40.6
YPL105C,2.5649,4.7274,7.8438,4.175,-0.58374,2.6247,0.47725,4.9511,0.4,-1.1809,-12.6,-12.6,-7.9,-1.2,-1.6094,-0.62197,-19.4,-7.8928,37.8
YDL215C,3.8067,5.037,8.0953,3.8512,-0.45436,3.8501,0.37701,8.4979,0.43,-2.0047,-2.8,-1.1,-11.5,9.7,-1.6094,-0.59967,-16.2,-8.2204,39.2
YHR006W,3.1781,4.8363,7.3939,3.5559,-0.14115,2.1282,1.3529,3.8501,0.34,-1.9324,-5.7,-5.7,-5.4,-6.9,-1.6094,-0.56941,-17.6,-6.7472,34.9
YNL083W,2.3026,5.6131,7.3032,3.0116,-0.73639,3.1655,-0.66292,3.8501,0.35,-2.4135,-11.1,-11.1,-11.9,-2.6,-1.6094,-0.50394,-13.8,-7.9896,39.9
YMR238W,4.8978,4.4188,7.2277,4.3162,-0.09327,1.5041,2.8042,5.7641,0.39,-1.8158,-8.3,-3,-12.5,-3.9,-1.6094,-0.61389,-18.2,-9.7136,28.4
YDR021W,4.382,4.0431,7.0901,3.2542,-0.10622,1.1632,1.3196,4.5109,0.39,-2.1821,-4.8,-4.1,-2,-3.8,-1.6094,-0.74667,-15.8,-7.4447,51.1
YPL212C,1.0986,5.0304,7.3994,4.5791,-0.12038,0.91629,2.927,6.2265,0.42,-1.6681,-11.7,-11.7,-16.2,-3.8,-1.6094,-0.59618,-19.8,-8.2302,41
YOR310C,2.5649,5.5491,7.3369,6.1539,0.22294,1.4586,3.4883,7.3597,0.54,-0.80096,-6.7,-6.7,-0.3,-2.6,-1.6094,-0.6209,-17.6,-8.45,22.2
YDR017C,2.5649,5.1358,8.0561,4.0255,-0.77052,1.5686,1.4598,4.6052,0.38,-1.4806,-0.5,-0.5,-6.2,-6.2,-1.6094,-0.61481,-15,-7.4712,33.8
YIL090W,4.9273,5.7589,7.2971,4.131,-0.83813,1.1939,2.0529,5.6131,0.34,-2.7536,-12.5,7.3,-12.6,-1.9,-1.6094,-0.54424,-18,-8.5708,36
YDR116C,3.5264,4.7791,6.7546,3.8892,0.11926,1.7405,1.7686,4.8363,0.35,-1.998,-7.2,-7.2,-4.6,-0.8,-1.6094,-0.6959,-16.3,-8.463,40.9
YOL062C,2.9444,4.2485,7.2971,4.2277,-1.0467,1.9021,1.529,4.0013,0.35,-1.7071,-9.4,-9.4,-8.5,-3.5,-1.6094,-0.47326,-16,-10.188,37.1
YNL234W,3.912,4.2767,7.1554,2.4765,-0.9121,2.6247,-0.033194,3.6763,0.35,-2.2926,-8.3,-4,-6.6,-2.9,-1.6094,-0.61635,-12.8,-6.9317,35.8
YDL070W,3.1355,5.5722,7.5585,4.9024,-0.75798,1.1314,2.5973,4.5272,0.39,-0.66339,-8.7,-8.7,-5.4,-1.8,0.18232,-0.60615,-18.2,-7.3597,33.2
YOR241W,6.1334,4.9628,7.4067,4.3538,-0.3644,1.5476,2.1948,5.8608,0.37,-1.7277,-4.8,-5.4,-2.8,-3.3,-1.6094,-0.60437,-16.3,-8.3377,34.2
YLR056W,4.2341,4.8363,7.0012,6.4563,-0.080219,1.335,3.9789,6.4388,0.43,-1.2194,-3.7,-7.6,0,0.2,-1.6094,-0.34071,-17.5,-9.8886,35.1
YKL110C,3.0445,4.8675,6.848,4.1007,-0.14118,2.2083,1.3681,4.9721,0.35,-1.8579,-14.3,-14.3,-8.5,0,-1.6094,-0.48278,-18.1,-8.2667,36.5
YHR193C,3.1355,4.1589,6.2634,7.3485,0.71284,3.1311,2.965,8.1062,0.6,-1.0715,4.3,4.3,-7.3,-3.4,-1.6094,-0.4182,-13.9,-8.0563,26.3
YBL099W,4.7958,5.4424,7.4012,6.1743,0.15419,3.5496,1.3353,7.4965,0.54,-1.538,-1.4,-1.9,-0.7,5.9,0.78846,-0.62439,-19.4,-9.8566,24.2
YNL305C,3.4012,4.4773,6.7957,3.8584,0.17742,3.6533,-0.11124,3.8712,0.31,-2.4327,-5.2,-5.2,0,-1.6,-1.6094,-0.24256,-17.3,-11.746,37.2
YLL014W,2.8904,4.92,5.79,5.2662,0.06206,2.0281,2.7929,3.8395,0.34,-2.3279,-6.1,-6.1,-4.3,-0.8,-1.6094,-0.54742,-14.5,-8.7889,40.2
YJR055W,2.3026,6.0259,6.2046,2.8214,0.37525,-0.22314,2.7169,4.0775,0.34,-1.501,-8.7,-8.7,-3.8,-2.4,-1.6094,-0.71955,-11.6,-7.3333,38.4
YGL099W,2.9957,3.7136,7.5616,4.7967,-0.02356,1.9169,1.4138,5.9216,0.43,-1.9442,-5,-5,-1.8,7.7,-1.6094,-0.67642,-15.5,-8.2968,29.4
YNL005C,3.7842,4.3307,7.0175,4.4383,-0.37097,2.23,1.8871,5.656,0.39,-1.8611,-5.9,-11.4,-9.3,-4.9,-1.6094,-0.61845,-17,-7.475,33.4
YJR139C,2.0794,4.1897,6.9847,6.6035,0.21311,4.0604,1.736,6.5157,0.55,-1.779,-6.9,-6.9,-3.8,-3,0.18232,-0.62747,-22.7,-9.7324,23.5
YBR133C,4.7791,4.9488,7.8176,4.2172,-1.2519,1.9601,0.90919,4.2532,0.34,-2.2946,-7.3,-4.1,-14.8,-15.3,-1.6094,-0.5018,-16.6,-7.984,37
YBR162C,4.9053,5.0106,7.2211,6.3802,0.10683,3.0681,2.1021,4.9675,0.48,-1.8116,-4.3,-1.3,-8.4,-6.4,0.18232,-0.59753,-16.8,-9.485,30.4
YJL079C,5.0938,5.2149,6.8024,3.7488,0.67052,2.7344,-0.016106,4.5643,0.47,-1.8773,-3.8,-2.7,-6.4,-2.3,0.18232,-0.45055,-17.6,-10.011,39.6
YGL019W,4.3307,4.6347,6.7298,4.8506,-0.038195,2.3125,1.7519,5.7137,0.37,-1.6734,-4.7,-5.8,-1.7,0,-1.6094,-0.36171,-16.7,-9.9077,30.1
YLR222C,2.8904,4.585,7.8055,4.5997,-0.30291,1.361,2.1437,5.8221,0.4,-1.6977,-5,-5,-9.6,-5.1,-1.6094,-0.66313,-15.9,-8.66,34.9
YBR282W,3.6636,4.4067,6.089,4.4381,0.30514,2.1163,1.7175,4.8866,0.39,-2.3709,-8.3,-5.3,-9.6,-4.1,-1.6094,-0.57112,-10.8,-6.9,30.8
YDR194C,3.091,5.0239,7.5984,5.0785,-0.77895,1.4816,2.5999,6.0853,0.44,-1.621,-5.7,-5.7,-2.98,-2.2,-1.6094,-0.67284,-17,-7.0108,55.7
YNR030W,4.1109,4.9836,7.4122,4.4336,-0.38455,2.3321,0.99593,4.5254,0.41,-3.6574,-9.1,-9.6,-0.6,0.3,-1.6094,-0.49188,-17.1,-8.0907,25.2
YGR159C,3.7612,4.9698,7.1269,5.929,0.32506,1.0296,3.6916,7.5981,0.58,-0.27194,1.7,0.3,-7.3,-4.9,-1.6094,-0.67957,-28.8,-10.493,33.2
YJR117W,2.6391,4.5433,7.2167,5.0416,-0.14551,3.2921,0.81924,6.3538,0.43,-2.2472,-3.7,-3.7,-6.8,-4.5,-1.6094,-0.42602,-15.3,-7.4045,36.6
YLR357W,3.8501,5.247,7.8898,3.8654,-0.34194,1.3863,1.5604,4.9488,0.38,-1.6628,0.8,-4.2,-6.8,-4.6,-1.6094,-0.63063,-19.9,-7.146,35.7
YHR110W,3.2581,4.6821,6.4599,4.5534,-0.54311,2.3888,1.6896,4.2195,0.37,-2.6607,-9.4,-9.4,-10.7,8.7,-1.6094,-0.53956,-13.5,-7.83,33.5
YGL173C,5.8021,4.585,8.431,5.7605,-0.46374,3.1781,1.6815,6.4205,0.43,-2.501,0,-5.5,-5.8,-2.6,-1.6094,-0.61306,-18.6,-8.155,29.7
YAR015W,3.8067,4.5433,6.8255,5.373,0.27917,1.6487,3.5387,7.9516,0.45,-1.8389,0.3,-0.6,-6.8,-7.2,0.18232,-0.46172,-19.1,-10.303,34.6
YDR395W,4.804,4.5643,7.9498,5.059,-0.26632,3.9416,-0.20777,5.9839,0.41,-1.6939,-3,-10.2,-4.6,-7.1,0.18232,-0.57675,-15,-7.6151,28
YLR079W,3.6889,5.0304,6.7511,4.5257,-0.13595,1.335,2.4366,4.1667,0.34,-0.92231,-4.8,-3.2,-1,6.6,-1.6094,-0.58092,-17.7,-8.1296,37.4
YMR093W,3.1355,4.6728,7.3408,4.4324,-0.21861,0.58779,2.8099,5.5175,0.37,-1.4584,4.8,4.8,-9.5,0,-1.6094,-0.66043,-15.4,-8.104,32.8
YPR072W,4.6151,4.382,7.4283,4.6131,-0.028069,2.2721,1.3763,5.7797,0.39,-1.9747,-3,5.63,2,-4.3,0.18232,-0.64889,-16.4,-5.8782,28.9
YDR233C,4.0604,4.9836,6.789,6.1473,0.18039,1.9021,3.3925,7.7353,0.51,-1.2567,-0.9,-6.5,-12.2,-4,-1.6094,-0.52302,-15.7,-7.7,33.7
YGR257C,4.6913,3.9703,7.004,4.2201,-1.5536,1.5686,1.5487,3.9797,0.32,-2.1884,-8.3,-11.7,-4.4,-1.6,-1.6094,-0.48701,-17,-10.374,33.7
YGL190C,5.7366,5.3471,7.3658,4.3317,-0.37408,1.9021,1.6413,4.5109,0.36,-1.1196,0.7,-3.6,0,0,0.78846,-0.66531,-17.1,-6.9275,35.7
YDR144C,4.9345,4.654,7.4905,4.8152,-0.43004,1.3083,2.0343,3.7136,0.37,-2.3076,-4.6,6.8,-1.1,-11.8,-1.6094,-0.57239,-16.8,-8.3007,32.2
YPR145W,3.7377,4.9488,7.4495,6.2466,0.0075839,1.4816,4.5926,9.6562,0.49,-1.1206,-4.6,-7.5,0,6.86,-1.6094,-0.53855,-17.3,-8.7571,27.3
YJL063C,3.6376,4.3694,6.5751,4.0764,0.25082,1.5892,1.9929,5.1571,0.33,-1.6337,-7.7,-7.6,-3.7,-7,0.18232,-0.25631,-24.6,-11.945,29.9
YMR149W,0.69315,4.5643,6.7581,5.2351,-0.11539,1.9315,2.2654,6.2305,0.43,-2.2082,1.4,1.4,-8.3,0,-1.6094,-0.44025,-15.6,-8.6667,12.7
YIR010W,4.2627,4.6634,7.4565,3.4009,-0.62018,1.8405,0.48088,4.1795,0.34,-2.1663,-9.5,-6.7,-4.3,-0.4,-1.6094,-0.5285,-15,-7.237,27
YDR331W,1.9459,4.8903,7.1196,4.202,-0.15004,1.4816,1.7399,5.0173,0.36,-2.7442,-9.4,-9.4,1.06,0,-1.6094,-0.53712,-16.2,-7.905,30.5
YKR044W,4.0943,4.1431,7.1944,3.2276,-0.9987,1.4586,1.2011,4.1897,0.35,-1.356,-10.1,-7.6,-15.2,-2.3,0.18232,-0.40658,-22.8,-9.8419,35.5
YNL164C,5.0999,4.9345,6.9622,3.3084,-0.054108,0.47,2.3773,4.2047,0.34,-1.931,-4.4,3.7,-4.1,-3.1,0.18232,-0.66653,-15.5,-8.0588,57.2
YJR070C,2.8904,4.8675,6.8855,5.8158,0.46884,1.2809,2.9971,7.0306,0.51,-0.91854,-1.8,-1.8,-2.6,-3.5,-1.6094,-0.45435,-17,-10.106,31.7
YDR059C,2.8904,4.6444,6.1026,3.3418,0.054719,1.5892,1.8481,5.178,0.4,-2.9318,-4.3,-4.3,-3.1,4.8,-1.6094,-0.59227,-14.7,-8.5923,35
YIL103W,3.912,4.2767,7.1531,3.9218,-0.1853,0.95551,2.116,4.8624,0.41,-1.8208,-4.3,-7.8,-4.6,-3.2,-1.6094,-0.64119,-14.7,-7.3049,38.6
YIR001C,4.1589,5.7961,6.6241,3.5395,0.34082,1.9315,1.1432,3.8501,0.4,-2.3719,-12,-1.6,-3.5,0,-1.6094,-0.54069,-14.1,-6.4833,47.3
YDL213C,2.0794,3.5835,6.5191,4.5737,0.46496,2.0794,2.0636,6.191,0.45,-1.791,-5.3,-5.3,-1.8,-4.2,-1.6094,-0.54099,-15.3,-6.6052,29.7
YGL061C,4.2047,4.6347,6.612,3.7575,-0.073103,0.83291,1.6669,4.3108,0.37,-3.0221,-3.8,-0.3,-8.9,-5.9,-1.6094,-0.64115,-13,-6.6248,33.2
YPL210C,2.8904,4.4427,7.5616,4.7775,-0.254,1.9021,1.7626,5.9126,0.41,-1.4832,-7.5,-7.5,-8.4,-0.5,-1.6094,-0.61975,-22,-7.3111,19
YOR087W,4.2767,4.804,7.6148,3.8461,-0.38412,1.4351,1.6931,5.161,0.38,-2.3424,-8.3,-5.5,-2.2,-7.3,-1.6094,-0.53643,-15.9,-8.2245,27
YAL029C,5.3083,4.4659,8.393,4.3719,-1.3607,3.091,0.64113,4.7095,0.39,-2.5295,2.5,-3.7,0,-8.9,0.18232,-0.57686,-21.2,-7.5952,32.2
YHR135C,4.7875,4.625,7.3883,4.7165,-0.21739,1.7405,1.5405,5.4042,0.41,-1.1845,-2.2,-11.7,-7.4,-5.2,0.18232,-0.51471,-14.2,-7.3288,34.1
YOR243C,2.5649,5.0499,7.6163,4.7318,-0.27166,1.2238,2.8035,5.1514,0.44,-1.7367,-7.1,-7.1,-10.4,-4.2,-1.6094,-0.64971,-16.2,-7.6788,33.9
YDL076C,4.9836,5.3181,6.7856,3.8035,-0.15679,1.3083,1.4291,4.6883,0.35,-2.2349,-2.1,-1.9,-9.3,-4.7,0.18232,-0.64832,-17.2,-7.0393,39.8
YJL192C,3.1355,4.6728,6.5582,5.4163,-0.17205,2.1748,2.2013,6.0339,0.39,-2.62,-18.4,-18.4,-5.3,-0.1,-1.6094,-0.51633,-15.3,-7.9773,28
YLR105C,4.1897,4.4886,7.0335,3.2573,-0.82459,1.361,1.6241,3.7612,0.35,-2.132,-6.4,-2.7,-2.2,-5.1,-1.6094,-0.58053,-16.9,-8.5028,36.5
YML091C,5.656,4.4659,8.1912,3.2359,-0.83622,1.7579,0.79774,4.3041,0.4,-2.522,-0.8,-11.2,-6.3,-5.3,-1.6094,-0.59839,-19.1,-6.3832,23.1
YDL098C,2.1972,4.9273,6.3716,3.612,-0.22018,1.6094,0.80239,3.9416,0.38,-2.2956,-10.5,-10.5,-2.6,-4.8,-1.6094,-0.52921,-18.2,-8.1111,29.3
YCR063W,2.1972,6.1738,6.1612,3.1839,0.054808,1.0986,1.5131,5.5607,0.38,-0.9994,-7.1,-7.1,-13.6,-3.3,-1.6094,-0.27458,-21.3,-10.179,38.2
YNL189W,5.2575,4.7875,7.3957,5.556,0.19774,4.0758,0.60375,6.2672,0.45,-2.051,-2.1,-4.1,-2.9,-4.2,0.78846,-0.73689,-16.4,-8.9264,27.7
YDL018C,4.0775,5.2257,6.5191,4.2262,-0.095412,2.5572,0.53651,5.4323,0.36,-3.1583,-4.2,-6.5,-8.2,-6.4,-1.6094,-0.57186,-14.2,-7.9238,27.2
YBL060W,3.8501,3.4965,7.6324,2.8484,-0.52895,1.6094,0.67483,3.922,0.37,-2.4901,-6.1,-12.2,-7.5,-8.7,0.18232,-0.53596,-13.4,-7.0463,46
YKL056C,3.6376,5.3423,6.2226,8.4267,0.15153,3.1739,3.7157,8.4005,0.63,-0.10137,0.9,-0.9,-4.4,-5.5,-1.6094,-0.40634,-16.8,-10.933,26.4
YJR057W,3.1355,4.2195,6.4785,4.0423,-0.083443,1.7228,1.7123,4.4427,0.39,-2.112,-4.1,-4.1,-6.8,-3.2,-1.6094,-0.54429,-19.2,-8.86,34.2
YGL211W,1.0986,4.4998,6.9847,3.9789,-0.65858,1.4586,1.4443,5.1667,0.36,-1.0331,-9.2,-9.2,-4,-9.8,-1.6094,-0.43413,-21.8,-10.729,38.8
YJR137C,5.0562,4.9488,8.3731,4.314,-0.79771,3.3534,-0.26897,4.5816,0.45,-2.0834,-10.3,-6.2,-7.9,1.3,-1.6094,-0.65918,-16.6,-8.797,41
YMR074C,2.3979,3.8918,6.0822,5.6226,0.023685,2.7147,2.7853,5.2983,0.45,-1.1664,-10.9,-10.9,-5.8,0.8,-1.6094,-0.55451,-14.8,-9.3154,26.1
YNL021W,3.8712,5.4381,7.6596,3.8834,-0.29823,1.8405,0.94774,4.5917,0.38,-1.9929,-6.9,-3.8,5.5,8.6,-1.6094,-0.6748,-20.5,-8.3275,31.2
YAL033W,1.6094,4.2627,6.2577,4.1228,-0.082354,1.4351,1.973,5.9915,0.29,-2.2936,-3.7,-3.7,-1.1,-5,-1.6094,-0.36322,-20.1,-10.938,31.4
YNL130C,3.7136,4.4543,7.075,5.0355,-0.37558,3.3604,0.76212,5.2627,0.39,-2.8117,-9,2.1,-4.7,-1.1,-1.6094,-0.58969,-13.9,-7.8316,27.6
YNR049C,2.8332,4.4773,6.4505,3.586,0.14257,1.7228,1.3155,3.8286,0.31,-2.0964,-5.2,-5.2,-2.6,-7.5,-1.6094,-0.51707,-14.5,-7.85,38.3
YML109W,4.6444,4.3694,7.9477,3.1705,-0.46984,1.8718,0.13878,4.0604,0.36,-2.4293,-4.9,7.7,-4.2,-1.5,-1.6094,-0.5848,-16.7,-7.7161,29.4
YBL004W,4.7005,4.0431,8.9203,5.0152,-1.2554,2.3609,1.5046,4.8203,0.37,-1.7856,-3.8,-11.2,-2.8,1,0.18232,-0.66177,-19.6,-7.2327,29
YBR164C,4.6821,4.7875,6.3135,5.0549,0.41778,1.8563,1.9428,5.7159,0.41,-1.9966,-3.1,-7.2,-4.1,-9.1,-1.6094,-0.66269,-16,-9.8824,28.2
YFR030W,3.989,4.0254,8.0417,3.9489,-0.80005,3.7257,-0.47429,4.2905,0.46,-3.1304,-6.5,-5,-5.5,6.5,-1.6094,-0.593,-16.8,-8.3951,23.9
YKL078W,3.4965,4.4188,7.6998,3.4275,-0.46327,0.58779,1.364,3.9318,0.36,-2.5459,-10.6,-7.9,-5.3,-5,-1.6094,-0.66006,-17.5,-8.9029,40.2
YLR351C,0.69315,4.8828,6.7754,5.1145,-0.1654,3.1091,1.3002,5.4806,0.37,-1.8477,-3.8,-3.8,-6.3,-6.2,-1.6094,-0.44719,-18,-9.2857,29
YLR015W,3.9703,5.1417,7.3251,3.255,-0.26128,1.4586,1.1562,3.8286,0.36,-2.5096,-6,2.7,-7.9,-6.1,-1.6094,-0.56332,-14,-7.9463,31.3
YPL259C,2.4849,5.3423,7.264,3.9692,-0.44192,1.6677,1.1059,5.2558,0.37,-2.0265,-7.5,-7.5,1.2,-7.8,-1.6094,-0.65378,-14.6,-7.5848,36.5
YPR070W,4.5643,5.8435,7.439,3.4685,-0.7016,1.5261,1.3207,4.9175,0.36,-2.1602,-7.8,-7.9,-2.3,5.4,0.18232,-0.68334,-12.4,-6.2418,40.6
YML076C,2.7081,4.8752,7.9498,3.142,-0.79157,1.361,1.1258,4.3438,0.35,-2.7458,-9.9,-9.9,-0.9,-9.5,-1.6094,-0.60348,-13.7,-6.5445,31.2
YKR060W,3.434,4.1589,6.7154,3.8399,-0.038567,0.33647,2.5193,5.1338,0.39,-1.7181,-5,-5,11.1,-5,-1.6094,-0.52558,-11.6,-7.0931,30.2
